company,category,address,city,district,postalCode,phone,email,all_emails,website,domain,rating,reviews,priority_score,placeId,url,searchString,personalization_snippet
RM - Royal Motor Kft.,Autószerelő,"Budapest, Fáy u. 43, 1139 Magyarország",Budapest,XIII. kerület,1139,+36 1 340 2378,info@hondanet.hu,info@hondanet.hu;tamas.czino@hondanet.hu;mogyidaniel@gmail.com,http://www.hondanet.hu/,hondanet.hu,4.6,254,300.0,ChIJ3YD7w7_bQUcRuhzJfhxLLIg,https://www.google.com/maps/search/?api=1&query=RM%20-%20Royal%20Motor%20Kft.&query_place_id=ChIJ3YD7w7_bQUcRuhzJfhxLLIg,autó szerviz,XIII. kerület – autószerelő
"Szappanos Autójavító Kft.- autójavítás,autóvillamosság,autódiagnosztika,karosszéria javítás",Autójavító,"Budapest, Telepes u. 49/B, 1147 Magyarország",Budapest,XIV. kerület,1147,+36 30 345 3111,info@szappanosauto.hu,info@szappanosauto.hu,http://szappanosauto.hu/,szappanosauto.hu,4.5,242,287.0,ChIJ_8IHB27bQUcRLWTda02_lkE,https://www.google.com/maps/search/?api=1&query=Szappanos%20Aut%C3%B3jav%C3%ADt%C3%B3%20Kft.-%20aut%C3%B3jav%C3%ADt%C3%A1s%2Caut%C3%B3villamoss%C3%A1g%2Caut%C3%B3diagnosztika%2Ckarossz%C3%A9ria%20jav%C3%ADt%C3%A1s&query_place_id=ChIJ_8IHB27bQUcRLWTda02_lkE,autójavítás,XIV. kerület – autójavító
Udvari Automobil Volvo Szerviz,Autószerelő,"Budapest, Tengerszem u. 84, 1142 Magyarország",Budapest,XIV. kerület,1142,+36 20 952 1412,udvari.laszlo@udvariautomobil.hu,udvari.laszlo@udvariautomobil.hu,http://www.udvariautomobil.hu/,udvariautomobil.hu,4.7,239,286.0,ChIJ6dLRtZrbQUcRMRNDyr0h3LY,https://www.google.com/maps/search/?api=1&query=Udvari%20Automobil%20Volvo%20Szerviz&query_place_id=ChIJ6dLRtZrbQUcRMRNDyr0h3LY,autó szerviz,XIV. kerület – autószerelő
Duna Autó Honda,Autószerelő,"Budapest, Kunigunda útja 56, 1037 Magyarország",Budapest,III. kerület,1037,+36 1 801 4080,info@dunaauto.hu,info@dunaauto.hu,http://dunaauto.hu/honda,dunaauto.hu,4.3,241,284.0,ChIJHW-R1nLZQUcRaoffDvpwpuA,https://www.google.com/maps/search/?api=1&query=Duna%20Aut%C3%B3%20Honda&query_place_id=ChIJHW-R1nLZQUcRaoffDvpwpuA,autó szerviz,III. kerület – autószerelő
Tímár-Autó,Autószerelő,"Budapest, Tüzér u. 43, 1134 Magyarország",Budapest,XIII. kerület,1134,+36 20 777 2180,shop.timarauto@gmail.com,shop.timarauto@gmail.com,http://www.timarauto.hu/,timarauto.hu,4.9,235,284.0,ChIJn1nxjpLbQUcR0o1xTqyxheU,https://www.google.com/maps/search/?api=1&query=T%C3%ADm%C3%A1r-Aut%C3%B3&query_place_id=ChIJn1nxjpLbQUcR0o1xTqyxheU,autóklíma szerviz,XIII. kerület – autószerelő
Preko-k Bt futóműbeállítás,Autószerelő,"Budapest, Tárház u. 36, 1214 Magyarország",Budapest,XXI. kerület,1214,+36 20 932 5103,support@nyitvatartas24.hu,support@nyitvatartas24.hu;info@oeffnungszeitenbuch.de;costard@it-rechtsberater.de,https://nyitvatartas24.hu/uzlet/Budapest-Preko-K%20B-375451H.html,nyitvatartas24.hu,4.9,234,283.0,ChIJHz1OvMDnQUcRqzbZiOwnXiQ,https://www.google.com/maps/search/?api=1&query=Preko-k%20Bt%20fut%C3%B3m%C5%B1be%C3%A1ll%C3%ADt%C3%A1s&query_place_id=ChIJHz1OvMDnQUcRqzbZiOwnXiQ,gumiszerviz,XXI. kerület – autószerelő
Kedvenc Autószerviz,Autószerelő,"Budapest, Bécsi út 277, 1037 Magyarország",Budapest,III. kerület,1037,+36 70 544 4555,szerviz@akedvenc.hu,szerviz@akedvenc.hu,http://kedvencszerviz.hu/,kedvencszerviz.hu,4.3,237,280.0,ChIJuQjpRyHZQUcRIjboBkkSdiQ,https://www.google.com/maps/search/?api=1&query=Kedvenc%20Aut%C3%B3szerviz&query_place_id=ChIJuQjpRyHZQUcRIjboBkkSdiQ,autószerviz,III. kerület – autószerelő
"Horváth Mobilgumis - Nonstop Gumiszerelés, Gumicsere, Defektjavítás, Kerékcsere, TPMS Programozás",Autógumi,"Budapest, Egressy Gábor u., 1184 Magyarország",Budapest,XVIII. kerület,1184,+36 70 905 4995,horvathmobilgumis@gmail.com,horvathmobilgumis@gmail.com,https://horvathmobilgumis.hu/,horvathmobilgumis.hu,5.0,230,280.0,ChIJaeUbNu_DQUcRI10GveFxfDQ,https://www.google.com/maps/search/?api=1&query=Horv%C3%A1th%20Mobilgumis%20-%20Nonstop%20Gumiszerel%C3%A9s%2C%20Gumicsere%2C%20Defektjav%C3%ADt%C3%A1s%2C%20Ker%C3%A9kcsere%2C%20TPMS%20Programoz%C3%A1s&query_place_id=ChIJaeUbNu_DQUcRI10GveFxfDQ,gumi csere,XVIII. kerület – autógumi
Winner Gumi Kft.,Gumiabroncs-szerviz,"Budapest, Fogarasi út 117, 1141 Magyarország",Budapest,XIV. kerület,1141,+36 70 942 2133,winnergumi@winnergumi.hu,winnergumi@winnergumi.hu,https://winnergumi.hu/,winnergumi.hu,4.9,229,278.0,ChIJl5ZHYU7bQUcRFkyOt9cvzyY,https://www.google.com/maps/search/?api=1&query=Winner%20Gumi%20Kft.&query_place_id=ChIJl5ZHYU7bQUcRFkyOt9cvzyY,gumi csere,XIV. kerület – gumiabroncs-szerviz
Fix & Go Autószerviz (English speaking team),Autószerelő,"Budapest, Hollán Ernő u. 13-15, 1136 Magyarország",Budapest,XIII. kerület,1136,+36 20 265 6396,fixandgoautoszerviz@gmail.com,fixandgoautoszerviz@gmail.com,http://fixandgo.hu/,fixandgo.hu,4.8,226,274.0,ChIJy-YB1AjcQUcRIQ9adpfx_cg,https://www.google.com/maps/search/?api=1&query=Fix%20%26%20Go%20Aut%C3%B3szerviz%20(English%20speaking%20team)&query_place_id=ChIJy-YB1AjcQUcRIQ9adpfx_cg,műszaki vizsga,XIII. kerület – autószerelő
"Dinamit Kipufogó Tuning, Szervíz",Autószerelő,"Budapest, Nagyvárad u. 16, 1162 Magyarország",Budapest,XVI. kerület,1162,+36 1 401 0242,kipufogo@dinamit-dob.hu,kipufogo@dinamit-dob.hu;kipugofo@dinamit-dob.hu,http://www.dinamit-dob.hu/,dinamit-dob.hu,4.8,222,270.0,ChIJHWHGst3EQUcRIM5Az9D0ICw,https://www.google.com/maps/search/?api=1&query=Dinamit%20Kipufog%C3%B3%20Tuning%2C%20Szerv%C3%ADz&query_place_id=ChIJHWHGst3EQUcRIM5Az9D0ICw,gumi csere,XVI. kerület – autószerelő
Mj-Car Szerviz Műszaki vizsgabázis Légrugó specialista,Autójavító,"Budapest, Posztógyár u. 8, 1211 Magyarország",Budapest,XXI. kerület,1211,+36 20 293 1663,szerviz@mjcar.hu,szerviz@mjcar.hu,http://mjcar.hu/,mjcar.hu,4.5,224,269.0,ChIJbZRxa-znQUcRza7khhovsQQ,https://www.google.com/maps/search/?api=1&query=Mj-Car%20Szerviz%20M%C5%B1szaki%20vizsgab%C3%A1zis%20L%C3%A9grug%C3%B3%20specialista&query_place_id=ChIJbZRxa-znQUcRza7khhovsQQ,autó szerviz,XXI. kerület – autójavító
Buda Gumi,Gumiabroncs-szaküzlet,"Budapest, Mészáros u. 19, 1016 Magyarország",Budapest,I. kerület,1016,+36 70 380 7618,info@budagumi.hu,info@budagumi.hu;budagumi@budagumi.hu,http://www.budagumi.hu/,budagumi.hu,4.6,223,269.0,ChIJF-OatyXcQUcRrOO121c0VS8,https://www.google.com/maps/search/?api=1&query=Buda%20Gumi&query_place_id=ChIJF-OatyXcQUcRrOO121c0VS8,gumi csere,I. kerület – gumiabroncs-szaküzlet
Gépjármű Unió Kft.,Autóellenőrző állomás,"Budapest, Tatai u. 3/b, 1142 Magyarország",Budapest,XIV. kerület,1142,+36 20 465 0873,gepjarmuunio@gmail.com,gepjarmuunio@gmail.com,http://gepjarmuunio.hu/,gepjarmuunio.hu,4.8,216,264.0,ChIJ52vH25nbQUcRHy-EjY4J_08,https://www.google.com/maps/search/?api=1&query=G%C3%A9pj%C3%A1rm%C5%B1%20Uni%C3%B3%20Kft.&query_place_id=ChIJ52vH25nbQUcRHy-EjY4J_08,autószerviz,XIV. kerület – autóellenőrző állomás
Zugló Gumi,Autógumi,"Budapest, Pillangó u. 15, 1149 Magyarország",Budapest,XIV. kerület,1149,+36 30 573 4071,info@zuglogumi.hu,info@zuglogumi.hu;nfh@nfh.hu;bekelteto.testulet@bkik.hu;ugyfelszolgalat@naih.hu,http://zuglogumi.hu/,zuglogumi.hu,4.4,218,262.0,ChIJ1WlVJYbdQUcR37Ommevvkgk,https://www.google.com/maps/search/?api=1&query=Zugl%C3%B3%20Gumi&query_place_id=ChIJ1WlVJYbdQUcR37Ommevvkgk,gumiszerviz,XIV. kerület – autógumi
